	city
Philadelphia	5852
Tampa	2960
Indianapolis	2862
Nashville	2502
Tucson	2466
New Orleans	2259
Edmonton	2166
Saint Louis	1790
Reno	1286
Boise	847
Santa Barbara	767
Clearwater	678
Wilmington	619
St. Louis	543
Metairie	522
Saint Petersburg	491
Franklin	444
St. Petersburg	404
Sparks	334
Brandon	326
Meridian	312
Largo	310
Cherry Hill	297
Carmel	291
West Chester	280
Kenner	228
New Port Richey	226
Goleta	220
Palm Harbor	207
Greenwood	207
Fishers	203
Riverview	198
Trenton	192
Dunedin	188
Brentwood	187
Hendersonville	183
Lutz	178
Pinellas Park	167
Smyrna	167
Florissant	165
Bensalem	165
Norristown	161
Wesley Chapel	158
Doylestown	156
Spring Hill	153
King of Prussia	153
Tarpon Springs	151
St Louis	149
Newark	146
Belleville	146
Exton	140
Media	140
Phoenixville	140
Pottstown	137
Gretna	137
Sherwood Park	136
Lansdale	131
Edwardsville	128
Wayne	128
Ardmore	126
Springfield	126
Marlton	123
Saint Charles	122
St Petersburg	121
Seminole	120
Levittown	117
Harvey	117
Malvern	113
Plant City	111
Mount Laurel	110
Avon	110
Clayton	109
Port Richey	106
Upper Darby	104
Plainfield	104
Conshohocken	103
Mount Juliet	103
Antioch	103
New Castle	102
Newtown	101
New Hope	100
Langhorne	98
Hermitage	97
Downingtown	97
North Wales	96
Madison	95
Arnold	95
Hudson	95
Warminster	93
Bryn Mawr	93
Eagle	92
Havertown	91
Willow Grove	91
Fenton	89
Kennett Square	88
Maryland Heights	88
Oldsmar	87
Burlington	86
Sewell	85
Alton	84
Sicklerville	83
Ambler	83
Voorhees	83
Kirkwood	82
Carpinteria	81
Oro Valley	80
Brownsburg	79
Collegeville	78
Marrero	77
Clearwater Beach	77
Fairview Heights	77
Valrico	77
Glen Mills	76
Goodlettsville	75
Glassboro	73
Royersford	73
Zionsville	73
Bridgeton	72
Medford	72
Ballwin	72
Collinsville	71
Collingswood	71
Creve Coeur	71
St. Pete Beach	68
Moorestown	68
Jenkintown	68
Drexel Hill	67
Chesterfield	67
Madeira Beach	66
Blue Bell	66
Chalmette	64
Haddonfield	63
Hatboro	63
Gallatin	63
Horsham	61
Southampton	60
University City	60
Zephyrhills	60
Warrington	60
Temple Terrace	59
Newtown Square	59
Glenside	59
Camden	59
Ewing	59
Lambertville	57
Harahan	56
O'Fallon	56
Pennsauken	56
Isla Vista	55
Gulfport	55
Bala Cynwyd	54
Safety Harbor	54
Abington	54
Yardley	52
Maplewood	52
Ruskin	52
Aston	51
Paoli	51
Audubon	51
Granite City	50
Des Peres	50
Woodbury	50
Maple Shade	49
Mount Holly	48
Morrisville	48
Folsom	48
Bristol	48
La Vergne	47
White House	47
Huntingdon Valley	47
Berwyn	46
Williamstown	46
Blackwood	46
St. Charles	46
Seffner	45
St Albert	45
Broomall	44
St Pete Beach	44
Cinnaminson	44
Elkins Park	43
Hazelwood	43
Lansdowne	43
Webster Groves	43
Clementon	43
Apollo Beach	42
St Charles	42
Chadds Ford	41
Odessa	41
Chalfont	41
Deptford	40
Bordentown	40
Harleysville	40
Souderton	39
Marana	39
Mooresville	39
Indian Rocks Beach	38
Garden City	38
King Of Prussia	38
Delran	38
Holiday	38
Perkasie	37
Nolensville	37
Hockessin	37
Fairless Hills	36
Berlin	36
Tampa Bay	36
Treasure Island	36
Plymouth Meeting	35
Hatfield	35
Richboro	35
Turnersville	34
East Norriton	34
Narberth	34
Clifton Heights	33
St. Albert	33
Swedesboro	33
Old Hickory	33
Waterloo	32
Terrytown	31
Land O' Lakes	31
Willingboro	31
Valley Park	31
Voorhees Township	31
Quakertown	30
Columbia	30
Lithia	30
Jefferson	30
Pitman	30
Brookhaven	30
Richmond Heights	29
Mt. Juliet	29
Wood River	29
Prospect Park	28
Wynnewood	28
Westwego	28
Glenolden	28
Haddon Township	28
Chester	28
Saint Ann	27
Speedway	27
Montecito	27
Troy	27
Lebanon	27
Skippack	27
Pennsville	26
Saint Pete Beach	26
Chester Springs	26
Wyncote	26
Green Valley	26
O Fallon	26
Feasterville-Trevose	26
Merchantville	26
Ewing Township	26
Trinity	26
Haddon Heights	25
Lindenwold	25
Lafayette Hill	25
Manchester	25
West Berlin	25
High Ridge	24
Boyertown	24
Ferguson	24
Ashland City	24
Pleasant View	23
Runnemede	23
Whitestown	23
Feasterville Trevose	23
Claymont	23
Gilbertsville	23
Schwenksville	22
Hamilton	22
Swansea	22
Somerdale	22
Ridley Park	21
Belle Chasse	21
Dresher	21
Flourtown	21
Croydon	20
Spring City	20
Feasterville	20
Avondale	20
Kenneth City	20
Gloucester City	20
Bellmawr	20
Stratford	19
Frazer	19
Montgomeryville	19
Bridgeport	19
Lumberton	19
Camby	19
Boothwyn	19
West Deptford	19
Affton	18
Oaklyn	18
Mullica Hill	18
Land O Lakes	18
Trevose	18
Glen Carbon	18
Lahaska	17
Limerick	17
Paulsboro	17
Imperial	17
Sahuarita	17
South Pasadena	17
Overland	17
Vail	17
Sun City Center	17
Maryville	17
Woodlyn	17
Thorndale	17
Telford	16
Westmont	16
Verdi	16
Gibsonton	16
Barrington	16
Swarthmore	16
Beech Grove	16
Holmes	16
Pennsauken Township	16
Godfrey	16
Folcroft	16
Palmyra	15
Arabi	15
Collingdale	15
Oaks	15
Lawrence	15
Morton	15
Evesham Township	15
Mt Juliet	15
Fort Washington	15
Maple Glen	15
Hainesport	15
Sellersville	14
Essington	14
Spring House	14
Caseyville	14
Tierra Verde	14
Belleair Bluffs	14
Columbus	14
Shiloh	14
Radnor	13
Pipersville	13
Garnet Valley	13
River Ridge	13
Cahokia	13
Millstadt	13
Westville	13
Jamison	13
Riverside	13
North Redington Beach	13
Colmar	12
Deptford Township	12
Greenbrier	12
Pennsburg	12
Magnolia	12
Mount Ephraim	12
Villanova	12
Glendora	12
Westampton	12
Hernando Beach	12
Buckingham	12
Pine Hill	12
Marcus Hook	12
Sun Valley	12
Brooklawn	12
Eagleville	12
Redington Shores	12
Sunset Hills	11
Devon	11
Saint Albert	11
Mt. Laurel	11
Penns Grove	11
Dublin	11
Joelton	11
East Alton	11
McCordsville	11
Darby	11
Mantua	11
Frontenac	11
Bellevue	11
Penndel	11
Salem	10
Olivette	10
Woodbury Heights	10
Noblesville	10
Spanish Springs	10
Virginia City	10
Hamilton Township	10
Gibbstown	10
Woodstown	10
Oreland	10
Holland	10
Hammonton	10
Indian Shores	10
Elmer	9
Wyndmoor	9
Maple Shade Township	9
Mascoutah	9
Coatesville	9
Trappe	9
Kingston Springs	9
Atco	9
Merion Station	9
Summerland	9
Beverly	8
Trooper	8
Gloucester Township	8
Sharon Hill	8
Town and Country	8
